Machine number;Part number;Part name
62917;6001660819;Metrische Schraube M5x12-8.8
62912;4220934809;DELTA PT Schraube 30x8
62903;6001161811;Metrische Schraube M5x75/20-CH-8.8-A2K
62918;4224727809;DELTA PT Schraube 40x32
62907;6001506807;Metrische Schraube M6x13-8.8
62917;4221429809;Delta PT Schraube 50x27/19-DS
62904;6500162609;Spiralform Schraube SF M5x16-K-L
62905;6001166819;Metrische Schraube M6x16-CH-8.8
62905;4211818809;DELTA  PT Schraube 60x32
62905;4014709809;PT Schraube K60x20
62901;6500606601;Spiralform Schraube SF M4x7-K
62919;6327722809;ALtracs Plus Schraube AP 60x18/16
62904;4010367320;PT Schraube WN1452 K50x18
62912;6317330809;ALtracs Plus Schraube AP 30x8/7
62900;4201043809;DELTA PT Schraube 40x16
62915;4220708809;DELTA PT Schraube 30x21-Z
62900;6414181609;SHEETtracs Schraube 40x35/10,6
62912;4221139801;DELTA PT Schraube 30x16-R
62912;4211826809;DELTA  PT Schraube 35x13
62900;6000649810;Metrische Schraube M8x23,1-8.8
62915;6001561811;Metrische Schraube M3x38/12-CH-8.8
62917;6001708809;Metrische Schraube M5x35/25-CH-10.9
62900;6397459800;ALtracs Plus Schraube AP 40x10
62905;6414193609;SHEETtracs Schraube 60x12
62915;4212800809;
62917;4211262801;DELTA  PT Schraube 50x16
62917;4229525801;DELTA PT Schraube WN5451 50x25
62905;4200620809;DELTA PT Schraube 70x18
62905;6001786809;Metrische Schraube M6x20-CH-10.9
62906;4221284809;DELTA PT Schraube 40x12
62915;6424111601;SHEETtracs Schraube 30x8
62900;4211924809;DELTA  PT Schraube 50x16
62915;4220709809;DELT PT Schraube 30x14-Z
62915;4210741809;
62901;4015090809;PT Schraube K50x34/14,5
62923;1000137601;TT Schraube M5x11
62905;4221070800;DELTA  PT Schraube 60x16
62914;4221027809;DELTA PT Schraube 40x12
62917;4212212809;DELTA PT Schraube 40x20-R
